Author,Title,Genre,Pub_Year,Connective_Title,Connective_Author,Read,Own,Connective_year,year
"Gay, Ross",The Book of (More) Delights,Essays,2023,What Is Now Known Was Once Only Imagined: An (Auto)biography of Niki de Saint Phalle,"Rudick, Nicole",0.0,0.0,,1986.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Book of the Dead,"Rukeyser, Muriel",0.0,0.0,,1938.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,How Literature Saved My Life,"Shields, David",0.0,0.0,,2013.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Very Last Interview,"Shields, David",0.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Borealis,"Sloan, Aisha Sabatini",0.0,0.0,,2021.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Orwell's Flowers,"Solnit, Rebecca",1.0,1.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Recollections of My Nonexistence,"Solnit, Rebecca",1.0,1.0,,1981.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,A Field Guide to Getting Lost,"Solnit, Rebecca",1.0,1.0,,2005.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Under the Sign of Saturn: Essays,"Sontag, Susan",0.0,0.0,,1980.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Death Watch: A view from the Tenth Decade,"Stern, Gerald",0.0,0.0,,2016.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Mushroom at the End of the World,"Tsing, Anna",0.0,0.0,,2015.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,"or, on being the other woman","White, Simone",0.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Cooling Time: An American Poetry Vigil,"Wright, C.D.",1.0,0.0,,2005.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Crituqe of Pure Reason,"Kant, Immanuel",0.0,0.0,,1965.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Beyond Good and Evil,"Nietzsche, Friedrich",0.0,0.0,,2003.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Divine Comedy,Dante,1.0,0.0,,2024.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,What Will Be Always Has Been: The Words of Louis I. Kahn,"Wurman, Richard Saul",0.0,0.0,,1962.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Illiad,Homer,0.0,1.0,,2013.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Book of Delights,"Gay, Ross",0.0,1.0,,2019.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Argonauts,"Nelson, Maggie",1.0,1.0,,2015.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Heart of Darkness,"Conrad, Joseph",1.0,0.0,,1902.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Brothers and Keepers,"Wideman, John Edgar",0.0,0.0,,1984.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Open Interval,"Clief-Stefanon, Lyrae Van",0.0,0.0,,2009.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Uncle Tom's Cabin,"Stowe, Harriet Beecher",0.0,0.0,,2009.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Slef Portrait,"Ray, Man",0.0,0.0,,1963.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Complete Works of George Orwell,"Orwell, George",0.0,0.0,,1939.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,George Orwell's Diaries,"Orwell, George",0.0,0.0,,1938.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Purity and Danger: An Analysis of the Concepts of Pollution and Taboo,"Douglas, Mary",0.0,0.0,,1966.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Becoming Marianne Moore: The Early Poems 1907-1924,"Moore, Marianne",0.0,0.0,,1907.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Immense Journey,"Eiseley, Loren",0.0,0.0,,1959.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Rose,"Potter, Jennfer",0.0,0.0,,2010.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Orwell: My Country Right or Left: 1940-1943,"Orwell, Sonia and Ian Angus",0.0,0.0,,1940.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Orwell: An Age Like This: 1920-1940,"Orwell, Sonia and Ian Angus",0.0,0.0,,1920.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,And There Was Light,"Lusseyran, Jacques",0.0,0.0,,1998.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Orwell Remembered,"Coppard, Audrey and Bernanrd Crick",0.0,0.0,,1941.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Eric and Us,"Buddicom, Jacintha",0.0,0.0,,1974.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Coming Up For Air,"Orwell, George",0.0,0.0,,1939.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Nineteen Eighty-Four,"Orwell, George",1.0,0.0,,1949.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,George Orwell: In Front of Your Nose: 1945-1950,"Orwell, Sonia and Ian Angus",0.0,0.0,,1945.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,As I Please: 1943-1945,"Orwell, Sonia and Ian Angus",0.0,0.0,,1943.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Georege Orwell: A Life in Letters,"Orwell, George",0.0,0.0,,2013.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Remembering Orwell,"Wadhams, Stephen",0.0,0.0,,1984.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Road to Wigan Pier,"Orwell, George",0.0,0.0,,1937.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,A Clergyman's Daughter,"Orwell, George",0.0,0.0,,1935.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Lost Orwell: Being a Supplement to 'The Complete Works of George Orwell',"Orwell, George",0.0,0.0,,2006.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Gardening at Dragon's Gate,"Johnson, Wendy",0.0,0.0,,1995.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Crystal Spirit: A Study of George Orwell,"Woodcock, George",0.0,0.0,,1989.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Joyful Militancy: Building Thriving Reistance in Toxic Times,"bergman, carla and Nick Montgomery",0.0,0.0,,2017.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Botany of Desire,"Pollan, Michael",0.0,0.0,,2001.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Communist Manifesto,"Marx, Karl and Frederich Engels",0.0,0.0,,2010.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,New Russia's Primer: The Story of the Five Year Plan,"Ilin, M.",0.0,0.0,,1931.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Condition of the Working Class in England,"Engels, Frederich",0.0,0.0,,2036.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Unreal and Real,"Le Guin, Ursula K.",0.0,0.0,,2012.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Keep the Aspidistra Flying,"Orwell, George",0.0,0.0,,1936.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Burmese Days,"Orwell, George",0.0,0.0,,1934.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Down and Out in Pairs and London,"Orwell, George",0.0,0.0,,1933.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Little Prince,"de Saint-Exupéry, Antoine",1.0,0.0,,1943.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Orwell: The Transformation,"Stansky, Peter and William Abrahams",0.0,0.0,,1994.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,"Shadows, Fire, Snow: The Life of Tina Modotti","Albers, Patricia",0.0,0.0,,2002.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,William Shakespeare's Sonnets,"Shakespeare, William",0.0,0.0,,1992.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Mexican Phoenix: Our Lady of Guadalupe: Image and Tradition Across Five Centuries,"Brading, D.A.",0.0,0.0,,2003.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Anthony Blunt: His Lives,"Carter, Amanda",0.0,0.0,,2002.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Vermeer in Bosnia,"Weschler, Lawrence",0.0,0.0,,2005.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Infants of the Spring,"Powell, Anthony",0.0,0.0,,1977.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Homage to Catalonia,"Orwell, George",0.0,0.0,,1938.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The God That Failed,"Crossman, Richard",0.0,0.0,,1940.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Spain in Our Hearts: Americans in the Spanish Civil War: 1936-1939,"Hochschild, Adam",0.0,0.0,,1936.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,All the Right Enemies: The Life and Murder of Carlo Tresca,"Gallagher, Dorothy",0.0,0.0,,1988.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Spanish Civil War: Revolution and Counterrevolution,"Bolloten, Burnett",0.0,0.0,,1987.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Spanish Holocuast: Inquisition and Extermination in Twentieth-Century Spain,"Preston, Paul",0.0,0.0,,2013.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Pablo Neurda,"Moran, Dominic",0.0,0.0,,1939.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Living My Life,"Goldman, Emma",0.0,0.0,,1931.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Residence on Earth,"Neruda, Pablo",0.0,0.0,,1933.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Notebooks,Victor Serge,0.0,0.0,,1936.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,A Thousand Plateaus: Capitalism and Schizophrenia,"Deleuze, Gilles and Félix Guttari",0.0,1.0,,1980.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Walden and Other Writings of Heny David Thoreau,"Thoreau, Henry David",0.0,0.0,,1950.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Where Our Food Comes From: Retracing Nikolay Vavilov's Quest to End Famine,"Nabhan, Gary Paul",0.0,0.0,,2008.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Works,"Stalin, J.V.",0.0,0.0,,1901.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Marxism and Darwinism,"Pannekoek, Anton",0.0,0.0,,1909.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Soviet Genetics and World Science,Julian Huxley,0.0,0.0,,1949.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Assignment in Utopia,"Lyons, Eugee",0.0,0.0,,1985.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Unquiet Ghost: Russians Remember Stalin,"Hochschild, Adam",0.0,0.0,,1991.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Murder of Nikolai Vavilov: The Story of Stalin's Persecution of One of the Twentieth Century's Greatest Scientists,"Pringle, Peter",0.0,0.0,,2008.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Stalin and the Scientists,"Ings, Simon",0.0,0.0,,1905.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Unknown Stalin,"Medvedev,Zhores A. and Roy Aleksandrovich",0.0,0.0,,2005.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Molotov Remembers: Inside Kremlin Politics,"Molotov, V.M. and Feliz Chuev",0.0,0.0,,1993.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Twenty Letters to a Friend,"Alliluyeva, Svetlana",0.0,0.0,,1967.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Annotated Alice in Wonderland,"Carroll, Lewis",0.0,0.0,,1960.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Little Sparta,"Gillanders, Robin",0.0,0.0,,2015.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,"Stop, Theif!","Linebaugh, Peter",0.0,0.0,,2015.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Selected Poems,"Clare, John",0.0,0.0,,2004.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Landscape and Ideology: The English Rustic Tradition: 1740-1860,"Bermingham, Ann",0.0,0.0,,1989.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Landscape as Photograph,"Jussim, Estelle and Elizabeth Lindquist-Cock",0.0,0.0,,1985.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,"British Paintings in the Metropolitan Museum of Art, 1575-1875","Baetjer, Katharine",0.0,0.0,,2010.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,British Portraits in the Metropolitan Museum of Art,"Baetjer, Katharine",0.0,0.0,,1999.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,"The History of Mary Prince, a West Indian Slave, Related by Herself","Prince, Mary",0.0,0.0,,2024.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,My Garden (Book),"Kincaid, Jamaica",0.0,0.0,,1999.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,A Small Place,"Kincaid, Jamaica",1.0,0.0,,1988.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,On Beauty and Being Just,"Scarry, Elaine",0.0,0.0,,2001.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Complete French Poems of Rainer Maria Rilke,"Rilke, Rainer Maria",0.0,0.0,,2002.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Lying,"Bok, Sissela",0.0,0.0,,1978.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Origins of Totalitarianism,"Arendt, Hannah",0.0,0.0,,1951.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,George Orwell: Fugative From teh Camp of Victory,"Rees, Ricahrd",0.0,0.0,,1984.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Speak,"Nabokov, Vladimir",0.0,0.0,,1936.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Tropic of Cancer,"Miller, Henry",0.0,0.0,,1934.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,The Divine Comedy,Dante,1.0,0.0,,2024.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Animal Farm,"Orwell, George",1.0,0.0,,1945.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Candide,Voltaire,0.0,0.0,,1947.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Culture and Imperialism,"Said, Edward",0.0,0.0,,1993.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Lucy,"Kincaid, Jamaica",0.0,0.0,,1990.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,How to Do Nothing: Resisting the Attention Economy,"Odell, Jenny",0.0,1.0,,2019.0
"Solnit, Rebecca",Orwell's Roses,Literary Criticism,2021,Mrs. Dalloway,"Woolf, Virginia",0.0,1.0,,1925.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Diary of Anïs Nin,"Nin, Anïs",0.0,0.0,,1939.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Walk,"deBuys, Bill",0.0,0.0,,1977.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Evil Hours: A Biography of Post Traumatic Stress Disorder,"Morris, David J.",0.0,0.0,,2016.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,On Violence and On Violence Against Women,"Rose, Jacqueline",0.0,0.0,,2021.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Titus Andronicus,"Shakespeare, William",1.0,0.0,,1999.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,What We Talk About When We Talk About Rape,"Abdulali, Sohaila",0.0,0.0,,2018.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Under My Skin,"Lessing, Doris",0.0,0.0,,1949.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Hunger,"Gay, Roxane",0.0,0.0,,2017.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Other Side,"Johnson, Lacy M.",0.0,0.0,,2014.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Reckonings,"Johnson, Lacy M.",0.0,0.0,,2018.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Lord of the Flies,"Golding, William",0.0,0.0,,1954.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Hope in the Dark,"Solnit, Rebecca",0.0,0.0,,2016.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Nightwood,"Barnes, Djuna",0.0,0.0,,1936.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Oedipus Rex,Sophocles,0.0,0.0,,1967.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Tender is the Night,"Fitzgerald, F. Scott",0.0,0.0,,1934.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,"Lamia, Isabella, The Eve of St Agnes, and Other Poems","Keats, John",0.0,0.0,,2014.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Metamorphoses,Ovid,0.0,0.0,,1994.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Cat and the Moon and Certain Poems,"Yates, W.B.",0.0,0.0,,1924.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,A Midsummer NIght's Dream,"Shakespeare, William",1.0,0.0,,2020.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The White Goddess,"Graves, Robert",0.0,0.0,,1948.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Simple Truth,"Levine, Philip",0.0,0.0,,1995.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Book of Laughter and Forgetting,"Kundera, Milan",0.0,0.0,,1979.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Labyrinths,"Borges, Jorge Luis",1.0,0.0,,1931.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Painted Bird,"Kosinski, Jerzy",0.0,0.0,,1965.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Diary of Anne Frank,"Frank, Anne",1.0,0.0,,1947.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Prelude,"Wordsworth, William",0.0,0.0,,2019.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Allegory of Love,"Lewis, C.S.",0.0,0.0,,1936.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Moby-Dick,"Melville, Herman",1.0,0.0,,2024.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Lord of the Rings,"Tolkien, J.R.R.",1.0,0.0,,1954.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Ways of Seeing,"Berger, John",1.0,0.0,,1972.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Souls of Black Folk,"Du Boise, W.E.B.",0.0,0.0,,1903.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Song of the Lark,"Cather, Willa",0.0,0.0,,1915.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Lord Jim,"Conrad, Joseph",0.0,0.0,,1900.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Basketball Diaries,"Carroll, Jim",0.0,0.0,,1978.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Great Expectations,"Dickens, Charles",1.0,0.0,,1998.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The Wizard of Earthsea,"Le Guin, Ursula K.",1.0,0.0,,1968.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Dune,"Herbert, Frank",1.0,1.0,,1965.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The English Patient,"Ondaatje, Michael",0.0,0.0,,1992.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Deeper into the Movies,"Kael, Pauline",0.0,0.0,,1969.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Against Interpretation,"Sontag, Susan",0.0,0.0,,1966.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Nineteen Eighty-Four,"Orwell, George",1.0,0.0,,1949.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,"Women, Art, and Society","Chadwick, Whitney",0.0,0.0,,2012.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Memoirs of a Beatnik,"di Prima, Diane",0.0,0.0,,1969.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Heaven/Earth,"Connor, Linda",0.0,0.0,,2005.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Richard Misrach on Landscape and Meaning,"Misrach, Richard",0.0,0.0,,2021.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,Semina Culture: Wallace Berman & His Circle,"Duncan, Michael and Kristine McKenna",0.0,0.0,,1926.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,The H.D. Book,"Duncan, Robert",0.0,0.0,,1959.0
"Solnit, Rebecca",Recollections of My Nonexistence,Memior,2020,My Vocabulary Did This To Me,"Spicer, Jack",0.0,0.0,,1925.0
